prediction,precedent,code_circonscirption,taux_pour_mille,taux_chomage,density,instabilite_centre_extremes,poids_nuance_centre_extremes,desir_changement_centre_extremes
1,1,59001,124.64,0.27,452,0,10,4
1,1,59001,128.01,0.21,452,0,10,4
1,1,59001,117.66,0.22,452,4,0,0
1,1,59002,114.77,0.62,452,0,10,4
1,1,59002,118.03,0.5,452,0,10,4
1,1,59002,108.48,0.5,452,4,0,0
3,4,59003,36.1,24.98,452,4,0,0
2,3,59003,37.39,21.33,452,7,0,0
5,2,59003,43.48,21.26,452,9,0,0
3,3,59004,103.26,1.77,452,5,1,0
1,3,59004,105.6,1.51,452,7,0,0
3,1,59004,98.32,1.48,452,9,3,0
4,4,59005,42.28,8.03,452,0,10,4
1,4,59005,40.67,6.48,452,4,0,0
4,1,59005,43.72,6.55,452,7,6,0
3,4,59006,22.56,13.06,452,4,0,0
1,3,59006,22.11,11.0,452,7,0,0
3,1,59006,26.02,11.03,452,9,3,0
3,4,59007,71.46,1.81,452,4,0,0
1,3,59007,79.76,1.53,452,7,0,0
4,1,59007,75.65,1.53,452,9,3,0
3,3,59008,78.39,0.35,452,0,10,4
1,3,59008,92.13,0.26,452,4,0,0
1,1,59008,88.49,0.28,452,7,0,0
3,4,59009,102.62,0.36,452,4,0,0
1,3,59009,108.18,0.29,452,7,0,0
3,1,59009,100.38,0.29,452,9,3,0
4,4,59010,53.78,0.63,452,0,10,4
1,4,59010,59.31,0.53,452,4,0,0
3,1,59010,63.44,0.54,452,7,0,0
3,1,59011,116.13,0.86,452,4,0,0
1,3,59011,119.61,0.72,452,7,6,0
1,1,59011,110.21,0.71,452,9,0,0
3,2,59012,19.68,24.81,452,4,0,0
3,3,59012,22.95,20.76,452,3,4,1
5,3,59012,26.3,20.37,452,6,0,0
2,1,59013,58.05,1.15,452,4,0,0
3,2,59013,50.68,0.91,452,7,0,0
3,3,59013,50.39,0.92,452,5,4,1
4,4,59014,41.92,6.34,452,0,10,4
3,4,59014,36.21,5.27,452,4,0,0
4,3,59014,36.96,5.15,452,7,6,0
3,1,59015,22.74,11.25,452,4,0,0
1,3,59015,25.35,9.41,452,7,6,0
4,1,59015,26.6,9.54,452,9,0,0
1,1,59016,35.82,19.03,452,0,10,4
1,1,59016,36.68,15.74,452,0,10,4
5,1,59016,40.8,15.71,452,4,0,0
3,1,59017,45.47,23.91,452,4,0,0
3,3,59017,52.17,20.45,452,3,4,1
5,3,59017,56.3,21.05,452,6,0,0
3,4,59018,29.27,37.13,452,4,0,0
3,3,59018,48.79,31.48,452,3,4,1
5,3,59018,51.17,31.63,452,6,0,0
5,2,59019,37.27,30.24,452,4,0,0
5,5,59019,32.85,24.81,452,3,4,1
5,4,59019,40.29,25.49,452,2,7,2
1,1,59020,39.63,2.67,452,0,10,4
1,1,59020,36.02,2.18,452,0,10,4
5,1,59020,39.62,2.18,452,4,0,0
3,4,59021,55.38,4.26,452,4,0,0
4,3,59021,56.98,3.68,452,7,6,0
3,4,59021,60.42,3.75,452,9,3,0
3,1,62001,10.36,33.78,219,4,0,0
3,3,62001,11.55,27.19,219,3,4,1
5,3,62001,15.53,26.94,219,6,0,0
3,2,62002,43.91,8.93,219,4,0,0
3,3,62002,43.6,6.88,219,3,4,1
3,3,62002,50.34,6.77,219,2,7,2
5,2,62003,51.95,1.88,219,4,0,0
1,5,62003,56.42,1.43,219,7,0,0
5,1,62003,69.86,1.44,219,9,3,0
4,4,62004,32.18,26.32,219,0,10,4
3,4,62004,29.23,21.48,219,4,0,0
3,3,62004,31.11,21.37,219,3,4,1
3,2,62005,47.05,4.92,219,4,0,0
3,3,62005,40.67,3.93,219,3,4,1
5,3,62005,46.09,3.87,219,6,0,0
3,2,62006,8.38,21.98,219,4,0,0
3,3,62006,8.56,17.47,219,3,4,1
5,3,62006,11.03,17.57,219,6,0,0
4,2,62007,49.57,3.56,219,4,0,0
4,4,62007,46.97,2.98,219,3,4,1
5,4,62007,50.72,2.91,219,6,0,0
3,2,62008,30.94,6.7,219,4,0,0
2,3,62008,37.83,5.56,219,7,6,0
5,2,62008,40.92,5.44,219,9,0,0
3,4,62009,29.64,2.29,219,4,0,0
3,3,62009,33.26,1.86,219,3,4,1
5,3,62009,40.08,1.86,219,6,0,0
5,2,62010,36.37,2.23,219,4,0,0
3,5,62010,40.35,1.85,219,7,0,0
5,3,62010,40.98,1.79,219,9,3,0
5,2,62011,49.48,1.14,219,4,0,0
1,5,62011,53.4,0.93,219,7,0,0
5,1,62011,56.17,0.95,219,9,3,0
5,2,62012,38.47,1.99,219,4,0,0
1,5,62012,40.09,1.62,219,7,0,0
5,1,62012,42.34,1.65,219,9,3,0
